Time	Par	Revoluciones	Potencia	Valve	Throttle	P1 GASOIL	P2 ACEITE	T1 ESCAPE A	T2 ESCAPE B 	T3 AGUA SAL B	T4 AGUA SAL A	Pattern Phase	Pattern Timer	Pass/Fail	Pass/Fail Description	Aux 1	P3 ESCAPE B	P4 ESCAPE A	P5 SAL AGUA	P6 ENT AGUA	P7 ADMIS A	P8 ADMIS B	P9 ATMOSFERICA	T5 ENTRADA AGUA	T6 AIRE ADM B	T7 GASOIL	T8 AIRE ADM A	T9 ASPIRACION A	T10 AMBIENTE	T11 ASPIRACION B	T12 ACEITE	Temp 13	Temp 14	Temp 15	Temp 16	CARRERA	KICK-DOWN1	KICK-DOWN2	KW+	CALC1	CALC2	CALC3	DIF_ESCAPE	CALC5	CALC6	CALC7	DIF. TEMP AGUA	CALC9	Fuelmaster	Fuelslave	CONSUMO_LPH	CONSUM_KGH	TEMP_MKE	P_ACEITE_MKE	P_AIRE_MKE	VENTILADOR1	VENTILADOR2
44134.0063194444	88.3482290835256	835.513405128205	7.72912093412037	0	0	4.06593687634286	1.78103319686889	129.4333343688	169.0777791304	88.222222928	88.3666673736	Manual	-9999	0		7.53826914362323E-02	6.95606498438783	2.83143165807055	0.854788624327482	0.673441410697676	5.62072605978262E-03	1.50705077595628E-02	13.5527750555539	88.111111816	84.3555562304	28.7000002296	86.0444451328	22.833333516	23.1777779632	23.9222224136	82.666667328	-9999	-9999	-9999	-9999	7.17	0	0	8.26588005398565	264.98	336.7	-71.72	-39.8444447632	190.78	190.98	0.199999999999989	0.111111112000002	32.2	1.54684000000176	1.54200000000176	6.68999999999897	5.68649999999913	90.3	1.73	65.526	0	0
44134.0063773148	80.1602276421992	836.629866666666	7.02221398227395	0	0.497585552273683	4.12109493474286	1.7891288023092	127.7333343552	167.3777791168	88.5222229304	88.5666673752	F0- TABLA CONEX VENTIADORES	3.50574046024121E-05	0		7.51093429302637E-02	6.83816557787278	2.83143165807055	0.878980755204678	0.68947573	7.49430141304348E-03	9.41906734972674E-03	13.5527750555539	88.4111118184	84.555556232	28.9000002312	86.2444451344	22.7333335152	23.0777779624	23.8222224128	82.5666673272	-9999	-9999	-9999	-9999	7.16	0	0	7.48898808221993	262.46	333.28	-70.82	-39.6444447616	191.14	191.34	0.200000000000017	0.111111112000002	32.2	1.54684000000176	1.54015000000176	8.5999999999995	7.30999999999957	90.22	1.73	65.526	0	0
44134.0064351852	71.5245857912337	836.449533333333	6.26457869084331	0.256900653496869	5.10027859788776	4.05805715371429	1.7891288023092	125.9333343408	165.6777791032	88.3222229288	88.5666673752	F0- TABLA CONEX VENTIADORES	9.29463640204631E-05	0		7.52004590989199E-02	7.66346142347814	2.83143165807055	0.878980755204678	0.697492889651167	1.12414521195652E-02	9.41906734972674E-03	13.5527750555539	88.4111118184	84.555556232	28.7000002296	86.2444451344	22.7333335152	23.0777779624	23.8222224128	82.5666673272	-9999	-9999	-9999	-9999	7.14	0	0	6.70742943445325	258.68	330.22	-71.54	-39.7444447624	191.14	190.98	-0.159999999999997	-8.88888896000001E-02	31.84	1.54494000000176	1.54015000000176	4.78999999999985	4.07149999999987	90.18	1.73	65.528	0	0
44134.0064930556	67.24233213123	842.602533333333	5.93253109910268	1.54594350557213	11.8743276679788	4.05017743108572	1.7891288023092	124.333334328	164.1777790912	88.4222229296	88.666667376	F0- TABLA CONEX VENTIADORES	1.44968878885265E-04	0		7.50182267616075E-02	7.30976320393295	2.83143165807055	0.887044798830403	0.697492889651167	5.62072605978262E-03	9.41906734972674E-03	13.5527750555539	88.61111182	84.6555562328	28.7000002296	86.3444451352	22.7333335152	23.0777779624	23.8222224128	82.5666673272	-9999	-9999	-9999	-9999	7.16	0	0	6.28496764485312	255.8	327.52	-71.72	-39.8444447632	191.5	191.16	-0.340000000000003	-0.1888888904	31.66	1.54684000000176	1.53831000000176	6.68999999999897	5.68649999999913	90.2	1.73	65.528	0	0
44134.0065509259	107.850318190497	962.4226	10.8722530338983	3.17704713297097	18.6205152406235	4.16049354788572	1.96723212199609	123.2333343192	163.1777790832	88.6222229312	88.8666673776	F0- TABLA CONEX VENTIADORES	2.087453394779E-04	0		7.50182267616075E-02	10.3751477733242	3.00839613669995	0.951557147836252	0.705510049302327	0.014988602826087	1.50705077595628E-02	13.5527750555539	88.8111118216	84.8555562344	28.9000002312	86.5444451368	22.6333335144	23.0777779624	23.8222224128	82.5666673272	-9999	-9999	-9999	-9999	7.15	0	0	11.3750686057386	254	325.9	-71.9	-39.944444764	191.68	191.52	-0.160000000000025	-8.88888896000001E-02	31.84	1.54494000000176	1.54015000000176	8.53000000000037	7.25050000000032	90.23	1.75	65.524	0	0
44134.0066087963	200.568201808178	1057.65321428571	22.2183004320089	4.52407143870187	26.2196259865381	4.13685438000001	2.19390907432486	122.833334316	162.6777790792	88.722222932	88.8666673776	F0- TABLA CONEX VENTIADORES	2.66479619313031E-04	0		7.52004590989199E-02	13.7942305622606	3.36232509395876	0.98381332233918	0.705510049302327	7.49430141304348E-03	1.88381346994536E-02	13.5527750555539	88.9111118224	84.9555562352	28.9000002312	86.6444451376	22.7333335152	23.0777779624	23.8222224128	82.5666673272	-9999	-9999	-9999	-9999	7.17	0	0	23.5382330081546	253.1	324.82	-71.72	-39.8444447632	192.04	191.7	-0.340000000000003	-0.1888888904	31.66	1.54305000000176	1.52924000000176	13.8099999999994	11.7384999999995	90.3	1.98	65.523	0	0
44134.0066666667	268.864336708056	1137.24606666667	32.0287938276635	6.05954763687194	34.9356442155252	4.06593687634286	2.43677723753425	123.5333343216	163.1777790832	88.722222932	88.8666673776	F0- TABLA CONEX VENTIADORES	3.24770488077775E-04	0		7.50182267616075E-02	16.1522186925616	3.45080733327347	1.02413354046783	0.705510049302327	1.87357535326087E-02	2.26057616393442E-02	13.5527750555539	89.111111824	85.055556236	28.9000002312	86.7444451384	22.6333335144	23.1777779632	23.8222224128	82.5666673272	-9999	-9999	-9999	-9999	7.17	0	0	33.5823569427808	254.36	325.72	-71.36	-39.6444447616	192.22	191.88	-0.340000000000003	-0.1888888904	31.66	1.53930000000176	1.52924000000176	11.9299999999996	10.1404999999996	90.45	2.15	65.524	0	0
44134.006724537	361.77990723189	1220.41235714286	46.2363196425724	7.47285868907139	44.5494645731127	4.15261382525715	2.64726297898239	125.83333434	164.6777790952	88.9222229336	88.9666673784	F0- TABLA CONEX VENTIADORES	3.76752126612701E-04	0		7.51093429302637E-02	12.4973370905951	3.62777181190287	1.07251780222222	0.73757868790698	9.36787676630433E-03	2.44895751092896E-02	13.5527750555539	89.2111118248	85.1555562368	28.9000002312	86.8444451392	22.7333335152	23.1777779632	23.722222412	82.5666673272	-9999	-9999	-9999	-9999	7.16	0	0	48.9831014985506	258.5	328.42	-69.92	-38.8444447552	192.58	192.06	-0.519999999999982	-0.2888888912	31.48	1.54305000000176	1.52568000000176	17.3699999999997	14.7644999999997	90.4	2.39	65.529	0	0
44134.0067824074	476.757368524625	1315.39542857143	65.7306101970191	8.51415533850656	55.4578314608372	4.04229770845715	2.95489598571429	129.2333343672	167.5777791184	89.0222229344	88.9666673784	F0- TABLA CONEX VENTIADORES	4.34603127359878E-04	0		7.50182267616075E-02	13.7942305622606	3.89321852984699	1.16928632573099	0.73757868790698	9.36787676630433E-03	0.026373388579235	13.5527750555539	89.2111118248	85.1555562368	28.8000002304	86.8444451392	22.7333335152	23.1777779632	23.722222412	82.4666673264	-9999	-9999	-9999	-9999	7.17	0	0	69.6354981480338	263.54	333.64	-70.1	-38.944444756	192.58	192.24	-0.340000000000003	-0.1888888904	31.66	1.54305000000176	1.51693000000176	24.3899999999986	20.7314999999988	90.83	2.6	65.527	1	0
44134.0068402778	644.894958008026	1737.87092307692	117.513889944512	8.62134913984083	57.5668093956917	3.99501937268572	3.85350818958905	137.2333344312	173.777779168	89.222222936	89.2666673808	F0- TABLA CONEX VENTIADORES	4.92874998599291E-04	0		7.48359944242951E-02	8.48875726908348	3.09687837601466	1.52410424526316	0.785681645813953	5.99544113043479E-02	4.89791502185792E-02	13.5527750555539	89.5111118272	85.3555562384	28.9000002312	87.0444451408	22.6333335144	23.1777779632	23.722222412	82.4666673264	-9999	-9999	-9999	-9999	7.17	0	0	124.495090507625	279.02	344.8	-65.78	-36.5444447368	193.12	192.6	-0.340000000000003	-0.1888888904	31.66	1.54494000000176	1.50173000000176	33.1500000000009	28.1775000000008	90.82	3.48	65.533	1	0
